2,35
17,22
38,9
56,25
66,10
78,20
83,8
86,You Like to Cross Dress
91,24
94,12
99,I Like to Cross Dress
101,5
131,13
163,Nothing Kinky
238,2
369,16
1018,Aggressiveness
1213,Likes to be Watched/Exhibitionism
1246,Being Submissive/Slave
1333,Bondage
1416,Curious - Domination
1480,Being Dominant/Master
1528,Curious - Submission
1727,Fetishes
1958,Erotic Tickling
2057,Experimenting with Tantric Sex
2258,Dressing Up/Lingerie
2353,Spanking
2407,Someone I Can Teach
2455,Blindfolding
2977,Likes to Go Slow
3292,Erotic Movies
3310,Role Playing
3331,Threesome
3486,Bubble Bath for 2
3520,Someone Who Can Teach Me
3550,Lots of Stamina
3606,Gentleness
3939,Cuddling &amp; Hugging
4080,Experimenting with Sex Toys
4176,Sharing Fantasies
4943,Extended Foreplay/Teasing
4980,Sex Talk
5163,Sensual Massage
5233,One-Night Stands
5295,Open to Experimentation
5328,Light Kinky Fun
5643,Good With Your Hands
6084,Kissing
6892,Conventional Sex
7065,Likes to Receive Oral Sex
7635,Likes to Give Oral Sex

