1,TRIM(pref_turnsmeon)
54,24
89,Experimenting with Sex Toys
94,Threesome
111,Someone Who Can Teach Me
131,2
141,Bubble Bath for 2
153,Extended Foreplay/Teasing
160,Experimenting with Tantric Sex
163,13
167,25
174,61
188,Being Dominant/Master
192,59
194,Aggressiveness
221,47
224,Cuddling &amp; Hugging
275,One-Night Stands
293,Spanking
305,Blindfolding
312,5
318,Kissing
323,Open to Experimentation
339,Conventional Sex
349,20
361,22
430,58
443,62
620,35
999,Someone I Can Teach
1094,Bondage
1180,9
1225,Erotic Tickling
1242,12
1352,Likes to be Watched/Exhibitionism
1599,Likes to Receive Oral Sex
1648,Erotic Movies
1655,I Like to Cross Dress
1859,Light Kinky Fun
2011,Gentleness
2035,60
2220,Good With Your Hands
2308,16
2391,Likes to Give Oral Sex
2570,57
2796,Likes to Go Slow
2820,54
3020,You Like to Cross Dress
3206,Dressing Up/Lingerie
3579,Curious - Domination
3584,56
3758,10
3975,Sensual Massage
4002,Curious - Submission
4307,55
4322,Sex Talk
4457,Lots of Stamina
4550,Sharing Fantasies
4863,Role Playing
4925,Fetishes
6136,Being Submissive/Slave
