54,24
89,23
94,1
111,51
131,2
141,28
153,36
160,21
163,13
167,25
174,61
188,3
192,59
194,26
221,47
224,29
275,15
293,Likes Routine
305,27
312,5
318,39
323,46
339,7
349,20
361,22
430,Seeking a Sugar Baby
443,62
620,BBW
999,Hopeless Romantic
1094,Aggressive/Take Charge Nature
1180,Average Sex Drive
1225,Body Piercing
1242,Dislikes Routine
1352,Short Height
1599,Short Hair
1648,Tattoos
1655,A Good Listener
1859,Tall Height
2011,Muscular/Fit Body
2035,Natural Breasts
2220,Petite Figure
2308,Has a Secret Love Nest
2391,Long Hair
2570,Casual/Social Drinker
2796,Girl Next Door
2820,Good Communicator
3020,Not Possessive
3206,Casual Jeans/T-shirt Type
3579,A Professional/Well Groomed
3584,Drug Free
3758,Confidence
3975,Creative and Adventurous
4002,Stylish/Classy
4307,Disease Free
4322,Imagination
4457,Naughty Girl
4550,Relaxed and Easy Going
4863,High Sex Drive
4925,Discretion/Secrecy
6136,Sense of Humor

